Date,Open,High,Low,Close
2020-04-03,242.8000030517578,245.6999969482422,238.97000122070312,241.41000366210938
2020-04-06,250.89999389648438,263.1099853515625,249.3800048828125,262.4700012207031
2020-04-07,270.79998779296875,271.70001220703125,259.0,259.42999267578125
2020-04-08,262.739990234375,267.3699951171875,261.2300109863281,266.07000732421875
2020-04-09,268.70001220703125,270.07000732421875,264.70001220703125,267.989990234375
2020-04-13,268.30999755859375,273.70001220703125,265.8299865722656,273.25
2020-04-14,280.0,288.25,278.04998779296875,287.04998779296875
2020-04-15,282.3999938964844,286.3299865722656,280.6300048828125,284.42999267578125
2020-04-16,287.3800048828125,288.20001220703125,282.3500061035156,286.69000244140625
2020-04-17,284.69000244140625,286.95001220703125,276.8599853515625,282.79998779296875
2020-04-20,277.95001220703125,281.67999267578125,276.8500061035156,276.92999267578125
2020-04-21,276.2799987792969,277.25,265.42999267578125,268.3699951171875
2020-04-22,273.6099853515625,277.8999938964844,272.20001220703125,276.1000061035156
2020-04-23,275.8699951171875,281.75,274.8699951171875,275.0299987792969
2020-04-24,277.20001220703125,283.010009765625,277.0,282.9700012207031
2020-04-27,281.79998779296875,284.5400085449219,279.95001220703125,283.1700134277344
2020-04-28,285.0799865722656,285.8299865722656,278.20001220703125,278.5799865722656
2020-04-29,284.7300109863281,289.6700134277344,283.8900146484375,287.7300109863281
2020-04-30,289.9599914550781,294.5299987792969,288.3500061035156,293.79998779296875
2020-05-01,286.25,299.0,285.8500061035156,289.07000732421875
