,ds,yhat_upper,yhat,yhat_lower
2645,2020-05-23,145.05845608427637,135.51579085903535,126.55719595830283
2646,2020-05-24,144.99230491434176,135.37221551663237,125.98158414593158
2647,2020-05-25,141.9718627967624,132.46983949445618,124.12831358271038
2648,2020-05-26,142.26001214649736,132.40793534421906,123.77010443471082
2649,2020-05-27,141.7135517218758,132.19086935251104,122.71283985908579
2650,2020-05-28,141.74879487943207,132.16769508379105,121.82203876201059
2651,2020-05-29,141.85344109916687,131.9650684850394,122.4102073972941
2652,2020-05-30,144.45119705749536,134.75432484421782,125.45989208699717
2653,2020-05-31,143.6825423338372,134.6960971921704,125.83177406293241
2654,2020-06-01,141.43894254309333,131.88086347953214,122.2429350742717
2655,2020-06-02,142.30065226448596,131.90541943469924,122.67472775634619
2656,2020-06-03,141.6387903281833,131.77164609351325,122.32788578200234
2657,2020-06-04,141.32856247099178,131.8261831409377,122.17837027285923
2658,2020-06-05,142.25270968019302,131.69342282964683,122.22598836075527
2659,2020-06-06,144.57206896290867,134.54266235628893,124.66321958738557
2660,2020-06-07,144.2079380073098,134.53279194711084,124.44431922010503
2661,2020-06-08,141.80753486422944,131.75290378958815,122.38408640229444
2662,2020-06-09,141.2094047611749,131.79881673076886,121.84694588513759
2663,2020-06-10,141.59469904623273,131.67188401740313,122.3166437327973
2664,2020-06-11,142.09042122459311,131.7186938258904,122.56494053100099
2665,2020-06-12,141.54690007044306,131.5640763221121,121.8855336419665
2666,2020-06-13,144.7736452706479,134.3782545083337,124.66255332197662
2667,2020-06-14,144.76176521840264,134.3215159091936,124.11662824695128
2668,2020-06-15,142.25441951866364,131.48479046786352,121.23049817502401
2669,2020-06-16,141.93593942006365,131.46613023959128,122.12978442905415
2670,2020-06-17,141.07125125422797,131.26945924135174,121.07807106535309
2671,2020-06-18,141.1827127345796,131.24420467986093,121.37168251441531
2672,2020-06-19,141.58111091406084,131.01822512385306,121.18553479668194
2673,2020-06-20,144.32058323483034,133.76487500666596,123.98104439993213
2674,2020-06-21,144.07881616869972,133.64758488490477,123.88096298639158
2675,2020-06-22,141.3293390632151,130.76034537673542,120.6447550972228
2676,2020-06-23,141.58691983945823,130.70409302791762,120.57170755620666
2677,2020-06-24,141.21871649786968,130.48536915709633,119.6905497724184
2678,2020-06-25,140.95951607156925,130.45586555214214,119.9772170659391
2679,2020-06-26,141.43245893170246,130.2452751125826,119.54645748411657
2680,2020-06-27,143.87841410481997,133.02828916050498,122.40272410778559
2681,2020-06-28,143.34579996311098,132.9691229204132,122.89755444527404
2682,2020-06-29,142.03318455941286,130.1619588437245,120.05722627480576
