,ds,yhat_upper,yhat,yhat_lower
2646,2020-05-24,144.9856642858157,135.38759343119327,126.23227730214539
2647,2020-05-25,142.26207557501527,132.6977239416894,123.11185885359635
2648,2020-05-26,141.86604914385492,132.63574243716366,123.43716575887906
2649,2020-05-27,141.63586614696845,132.42135945070677,122.7761422729838
2650,2020-05-28,141.19817035686546,132.4387742694421,122.41198251514497
2651,2020-05-29,142.22769290621898,132.19825555376224,122.75129963036632
2652,2020-05-30,144.67616933160872,134.7813617057024,124.73545287942153
2653,2020-05-31,144.16277128790688,134.72489391261445,125.02539577230748
2654,2020-06-01,141.71062494607276,132.12193208942165,122.00818677252563
2655,2020-06-02,141.93792785842183,132.14583646144118,122.65516691457933
2656,2020-06-03,141.99251469888247,132.01385362762298,122.65602295203817
2657,2020-06-04,142.66411296425287,132.10780010959917,122.36178040541282
2658,2020-06-05,142.15749071211704,131.93572069025475,121.94623773061447
2659,2020-06-06,143.82194390993385,134.57718284763402,124.61408965626057
2660,2020-06-07,144.48399397089085,134.56729791732408,124.7788710150376
2661,2020-06-08,142.07020825368937,131.99781706264486,122.36628167453144
2662,2020-06-09,141.71549956043026,132.0411828646699,121.92278904158897
2663,2020-06-10,141.6384901415729,131.91417371440303,121.88213850675662
2664,2020-06-11,141.67453428520994,131.9986126791799,121.55645008622196
2665,2020-06-12,141.44664990309295,131.80303718010967,121.96500686475481
2666,2020-06-13,144.88686562900264,134.40799021803258,124.03188900280654
2667,2020-06-14,144.5024322220894,134.35002363229407,124.27446681205551
2668,2020-06-15,141.97881001549368,131.72276175102382,121.18374942947801
2669,2020-06-16,142.1943026428037,131.70090694910715,121.6258672411869
2670,2020-06-17,141.34966850069858,131.50382540917155,120.94473887615273
2671,2020-06-18,141.75100067351053,131.5161862520315,122.00266622775916
2672,2020-06-19,141.79083185004382,131.24955220972097,121.08155221472481
2673,2020-06-20,144.84028430019472,133.78758470797825,123.4402530834056
2674,2020-06-21,144.76251526087415,133.6699562069024,123.03680677774477
2675,2020-06-22,140.91173607416687,130.9933206921386,120.86940801311071
2676,2020-06-23,141.10868014577292,130.9352264660149,120.36648537206803
2677,2020-06-24,141.00688220693698,130.71761219123917,120.22393808502156
2678,2020-06-25,141.20896760995078,130.72736196086234,120.27672834443219
2679,2020-06-26,141.0254431794227,130.4778200491668,120.23966163990737
2680,2020-06-27,143.13579613225687,133.05393049520805,122.86987413163075
2681,2020-06-28,143.91408725724543,132.99609638876277,121.89489107058974
2682,2020-06-29,141.7703660590897,130.401111448949,119.47897917032519
2683,2020-06-30,141.03999241647423,130.44604936842876,119.25429419548702
2684,2020-07-01,141.28437437876386,130.35175278439198,120.0212306169087
2685,2020-07-02,141.26889566431723,130.50339811404925,119.30801496197599
2686,2020-07-03,140.88820581124602,130.41203691195017,119.35380074391779
2687,2020-07-04,144.38256554813074,133.15977843785856,121.6896771725695
2688,2020-07-05,144.1815367387441,133.28370738523438,121.94411435054651
2689,2020-07-06,142.30033084119128,130.8768880059461,119.75001932229269
2690,2020-07-07,142.38005039377126,131.11233834847746,120.09464213425088
2691,2020-07-08,142.12779655609566,131.20661436022593,120.20913207586054
2692,2020-07-09,143.2226020712004,131.5404776808444,120.25299162759329
2693,2020-07-10,143.0410442732114,131.6205451384989,120.41843910469773
2694,2020-07-11,145.09380895519772,134.52458182803272,122.78315605405798
2695,2020-07-12,146.28748144582346,134.78552882379424,123.17518323492695
2696,2020-07-13,143.38907925552473,132.49261385664377,121.55879313111882
2697,2020-07-14,144.00518146772885,132.81542583725133,121.33345392990901
2698,2020-07-15,144.13345591755686,132.9675902898762,121.53339550216029
2699,2020-07-16,145.11839685707892,133.32751706027915,121.84796487432695
2700,2020-07-17,143.91158724834034,133.4001161373115,121.07267809898147
2701,2020-07-18,147.88669615685907,136.26214164661627,125.43971552693142
2702,2020-07-19,148.49481558948452,136.44625365073992,124.52387304224204
2703,2020-07-20,145.5414132744201,134.04214510921994,121.78647446913182
2704,2020-07-21,145.3496715717499,134.2206143744142,123.07774866928217
2705,2020-07-22,145.89846295699613,134.19722026577935,121.9655514988469
2706,2020-07-23,146.43226413676575,134.35299155076396,122.501385452201
2707,2020-07-24,145.46175098157693,134.1960876106036,121.84028393606586
2708,2020-07-25,147.76063819195357,136.8070717371533,125.18823959956944
2709,2020-07-26,148.4685966291824,136.72288849455367,123.65988893677056
2710,2020-07-27,145.851670245979,134.03789466137079,122.43461158532781
2711,2020-07-28,145.58622746186546,133.92782659532253,120.64822900707212
2712,2020-07-29,145.05186756636277,133.6133437662997,120.62819418002877
2713,2020-07-30,145.9098429770668,133.48062315229438,120.90735339158144
2714,2020-07-31,144.95547733934018,133.0429042280596,120.71325187403788
2715,2020-08-01,147.55489703652339,135.3856489491556,123.32799548902673
2716,2020-08-02,146.86664546866245,135.0504110464934,122.74074422753502
2717,2020-08-03,143.95334286050033,132.13576687488768,119.53121322199009
2718,2020-08-04,144.49334000161744,131.82119315896017,118.78085258382896
2719,2020-08-05,143.81627877373373,131.33053358913605,117.21975161893293
2720,2020-08-06,143.61152814571437,131.05253081696787,118.05689441457636
2721,2020-08-07,144.04733329047585,130.5023250325614,117.73315507094709
2722,2020-08-08,146.09059525310977,132.76658454089983,120.1635092215391
2723,2020-08-09,144.8754136319149,132.38736320224595,118.39886378782236
2724,2020-08-10,142.4669047894662,129.4630370539511,116.52776544124956
2725,2020-08-11,142.6383531635267,129.17220505580772,115.57083271267314
2726,2020-08-12,140.75059121092553,128.73719504978507,116.1195043652512
2727,2020-08-13,141.87005882842942,128.5446501879856,115.14544099235671
2728,2020-08-14,142.24999796334822,128.10709532164094,115.05954407948363
2729,2020-08-15,143.10871484809087,130.50814673368956,117.31975328332369
2730,2020-08-16,143.26161381141145,130.2864577601814,116.17717728954466
2731,2020-08-17,140.63279367175568,127.53675008020528,113.88277682484213
2732,2020-08-18,140.1702576992337,127.43381293247296,113.99226521031666
2733,2020-08-19,140.99243373424162,127.19610859653012,113.31815211341178
2734,2020-08-20,140.72734084567455,127.20645664767667,112.67951449025361
2735,2020-08-21,141.05158839354704,126.97369381919493,113.39554830284229
2736,2020-08-22,143.05424620950217,129.57797035462622,114.96257220371078
2737,2020-08-23,143.38346173850027,129.55477312425964,114.41677696146047
2738,2020-08-24,140.2780655510979,126.99602330520098,112.37286350376702
2739,2020-08-25,141.10535213939573,127.07412924683805,113.39898007410645
