,ds,yhat_upper,yhat,yhat_lower
2646,2020-05-24,91.74348307724166,82.27589958739969,72.67289172584425
2647,2020-05-25,93.69716504861128,83.83923234247692,73.33069014484913
2648,2020-05-26,93.10944402768176,83.86659193512743,75.10262739273317
2649,2020-05-27,94.56923259776723,83.93888283131656,74.08772157099763
2650,2020-05-28,94.12152253826883,84.07197277624988,73.14486145374931
2651,2020-05-29,94.31843976052906,84.14243317438044,74.36775178740537
2652,2020-05-30,91.95201000965909,82.61855960341349,73.11731377346634
2653,2020-05-31,92.35811800461998,82.69598135532058,72.45283021963999
2654,2020-06-01,94.79549688301972,84.30014786996676,74.71063847410852
2655,2020-06-02,94.50159316140115,84.36556438932162,74.49572507283354
2656,2020-06-03,94.30862762287256,84.47247036322906,74.52534165685906
2657,2020-06-04,94.46611407042866,84.63615393896487,75.17432635270015
2658,2020-06-05,95.14726729200561,84.73270953567231,75.05713247785688
2659,2020-06-06,93.7340013645201,83.23007262308633,73.46324163426767
2660,2020-06-07,93.16027583884045,83.32364015091233,73.87886985286946
2661,2020-06-08,95.26808755901052,84.93876414789372,74.82191518486412
2662,2020-06-09,94.39735765210628,85.0099905825419,75.38750784790231
2663,2020-06-10,94.89883791574749,85.11773689860972,75.19350680520895
2664,2020-06-11,94.69126864718913,85.27760156143486,74.47376833331296
2665,2020-06-12,95.02952985773582,85.36611274217401,75.48066832442679
2666,2020-06-13,93.93171892142738,83.85175050384926,73.27599404892135
2667,2020-06-14,93.38099562260031,83.9305512915731,73.66695919980154
2668,2020-06-15,95.43312465466312,85.52858270321865,75.59623825263978
2669,2020-06-16,96.3225556888529,85.5811611774987,75.36700089606288
2670,2020-06-17,94.87720669691544,85.66950662943181,75.41318743900345
2671,2020-06-18,95.65485349952073,85.81002803970779,75.36382401504035
2672,2020-06-19,95.21185349199435,85.88004782940457,75.410905238465
2673,2020-06-20,93.92351874205698,84.3488001014122,74.41196463698634
2674,2020-06-21,94.89832043915777,84.41301226019891,74.07040561503146
2675,2020-06-22,95.70796782907077,85.99935866656736,76.78543165795985
2676,2020-06-23,96.13294536833098,86.04365959514614,75.4001151079804
2677,2020-06-24,96.48374484349057,86.12752008784612,75.97547745597186
2678,2020-06-25,95.72333041249557,86.26760318802884,76.27341490516352
2679,2020-06-26,95.99138226115967,86.34134576641716,76.36345375374411
2680,2020-06-27,94.7246627855654,84.8179522892803,75.39268025876747
2681,2020-06-28,94.21494820159222,84.89397619150428,75.26770150681456
2682,2020-06-29,96.13717511880772,86.49577753910083,76.19521879146095
2683,2020-06-30,96.09798949123925,86.55873015291394,76.27739668689442
2684,2020-07-01,96.55078753657396,86.66387256928323,76.62136331390467
2685,2020-07-02,97.62610645112491,86.82719698982994,77.69010626769828
2686,2020-07-03,96.80599247830608,86.92538399305371,77.0350329634059
2687,2020-07-04,95.38724942451525,85.42681782693082,75.21235907214101
2688,2020-07-05,95.93692610103069,85.52719133600036,75.88700584600458
2689,2020-07-06,97.16537920814986,87.15198853827478,76.65715940200242
2690,2020-07-07,96.76574156133469,87.23571731380078,76.96562692089648
2691,2020-07-08,98.37883306364365,87.3585858502261,77.16120984443533
2692,2020-07-09,97.13654418977646,87.53581626830328,77.39287971246787
2693,2020-07-10,97.50347406242467,87.64340249235484,77.0675500251128
2694,2020-07-11,96.34256363743091,86.14914651973754,76.55511928275712
2695,2020-07-12,96.10234215293058,86.24828153896996,76.12530139568008
2696,2020-07-13,97.68757150938205,87.86596938691471,78.3308910797449
2697,2020-07-14,97.68389289725393,87.93654437564301,77.78438739559074
2698,2020-07-15,97.99919613651127,88.04019680935124,77.7501977935663
2699,2020-07-16,98.11212827018396,88.19228940451436,78.41126501210358
2700,2020-07-17,98.32102816261262,88.26911358987527,77.15182729995561
2701,2020-07-18,97.35582680361813,86.73891987528484,76.52648984632482
2702,2020-07-19,96.52832995671625,86.7975308965263,76.7366845350179
2703,2020-07-20,98.71851650802876,88.37082490136548,78.18541310438061
2704,2020-07-21,97.78721221133148,88.39396209193389,78.62974674626507
2705,2020-07-22,97.63996228310438,88.44804762642863,77.54380441821422
2706,2020-07-23,98.56965197636995,88.54942506014426,78.18030572323259
2707,2020-07-24,98.61130085502559,88.57540783704536,78.34814080431855
2708,2020-07-25,97.16104467981083,86.99528370504932,76.59449254852349
2709,2020-07-26,97.35888775640842,87.00590137611792,76.54361226942687
2710,2020-07-27,99.30603365974801,88.53412791996062,78.22549937879008
2711,2020-07-28,98.56934124363696,88.51605001883361,77.37442584253633
2712,2020-07-29,97.34454832177589,88.53361356762463,77.98304566599582
2713,2020-07-30,98.6128395347169,88.60389603003449,78.51632679080917
2714,2020-07-31,98.3729529909667,88.60481972489396,78.3900928401223
2715,2020-08-01,96.63630248049891,87.00614139514771,76.48750630607601
2716,2020-08-02,96.94741311326746,87.00502776335537,76.5878679395146
2717,2020-08-03,98.85344302510357,88.52850583861573,77.99196993950714
2718,2020-08-04,99.01925144985731,88.5126612646124,78.13463480334494
2719,2020-08-05,99.1144359255526,88.53927923782867,78.08950091154297
2720,2020-08-06,98.63603074844728,88.62512233358066,77.97986666166267
2721,2020-08-07,98.54979889833076,88.64765322611298,78.44344303046903
2722,2020-08-08,96.8476147223651,87.07603735897841,76.39983038378624
2723,2020-08-09,97.92580838140118,87.10673487419119,76.31442423842437
2724,2020-08-10,98.97927795855662,88.665970082868,77.80866851290003
2725,2020-08-11,99.69856889834583,88.68895121251815,78.04054390191209
2726,2020-08-12,98.86911163598774,88.75653434969598,77.73742904597145
