,ds,yhat_upper,yhat,yhat_lower
3763,2019-11-02,236.27491625306854,224.9082623619222,213.38067107033075
3764,2019-11-03,236.2063590647255,224.8617661844885,213.89824151511968
3765,2019-11-04,237.41952007964542,225.34317736015433,214.88713286638742
3766,2019-11-05,236.54132348053417,225.41030134060125,213.67583149650235
3767,2019-11-06,236.72829807873126,225.33335893587406,214.70967830262612
3768,2019-11-07,236.96139943029638,225.18688098022585,213.44310724780996
3769,2019-11-08,236.0644486713298,224.89902811830322,214.1210096070041
3770,2019-11-09,236.12267964850184,224.31836768620602,213.502214124339
3771,2019-11-10,235.31120511766292,224.21063871841199,213.38138347048013
3772,2019-11-11,236.5057299235549,224.65104900396565,212.7240816623774
3773,2019-11-12,235.23230668015503,224.69802449891714,212.93448577959407
3774,2019-11-13,236.19043313039487,224.62187466724032,213.2865244366724
3775,2019-11-14,235.63549513722023,224.4966842211813,213.37275441541948
3776,2019-11-15,235.1695652311282,224.24964436126766,213.00621644704592
3777,2019-11-16,235.15520226471475,223.7278552365713,211.9070256723877
3778,2019-11-17,236.4256701706557,223.69513000875986,212.4783460890084
3779,2019-11-18,235.2995028788762,224.22434341875714,212.60352096029757
3780,2019-11-19,235.92517014953057,224.37124378843845,212.79016797538176
3781,2019-11-20,236.79008612414606,224.40319034219658,213.34478972985744
3782,2019-11-21,236.72879430002328,224.39112436531536,212.60220749535267
3783,2019-11-22,235.52012091988377,224.25898513265895,213.2660639318974
3784,2019-11-23,235.31827857663862,223.8506000089683,213.08603159930095
3785,2019-11-24,235.0544839146993,223.92657669710738,212.64856021407445
3786,2019-11-25,235.89253859604406,224.55673810538764,213.50237825531093
3787,2019-11-26,236.81967715813315,224.79401638631805,214.0534242938627
3788,2019-11-27,236.48494783250936,224.90326576626552,213.82485307676706
3789,2019-11-28,235.64220080976202,224.95330059618837,213.0392972352546
3790,2019-11-29,237.00722514053558,224.86636770789414,213.56136932413352
3791,2019-11-30,234.75565946274608,224.48508091820543,213.02656249068514
3792,2019-12-01,237.093524651456,224.56934443296745,212.21278260239256
3793,2019-12-02,237.01323680767777,225.18880476715688,213.66431052425582
3794,2019-12-03,236.8728742082405,225.3967472725687,213.51919428828003
3795,2019-12-04,237.91691503438648,225.45889683925165,214.65464946895366
3796,2019-12-05,237.4944665692373,225.44542955690468,214.35233878694274
3797,2019-12-06,236.43186562235286,225.28040517645334,213.6016592202276
3798,2019-12-07,236.3275002059269,224.80864934858187,213.72312322508193
3799,2019-12-08,235.76887182810518,224.7926138723734,214.32846985957227
3800,2019-12-09,237.49234931226053,225.30475635657652,213.52840844561314
3801,2019-12-10,237.9550556400376,225.40135742599355,213.3355113931472
3802,2019-12-11,237.43948708378053,225.35123727708736,213.36906511565667
3803,2019-12-12,236.54006571691016,225.22768074066184,212.97925785564445
3804,2019-12-13,237.12964411464594,224.95778312995708,214.40102400295223
3805,2019-12-14,236.51259457114182,224.38924828647532,213.05354673915053
3806,2019-12-15,235.401716652032,224.28716942060643,213.02348896807817
3807,2019-12-16,235.7663290622749,224.72633637487525,213.33038178782772
3808,2019-12-17,235.80705667343793,224.7649894658912,212.49761424656774
3809,2019-12-18,237.42242473585495,224.67348347363236,212.90794706824641
3810,2019-12-19,236.8352211108804,224.52617239151508,213.18236202672855
3811,2019-12-20,236.0561531398432,224.25072832100142,212.8792307482952
3812,2019-12-21,235.52764626142329,223.6949266472695,212.41918358675542
3813,2019-12-22,235.6711214881083,223.623428415657,211.64734136716794
3814,2019-12-23,236.0632123408008,224.1101034491001,212.25072442364194
3815,2019-12-24,236.7564064496603,224.21181386756874,212.52350835466206
3816,2019-12-25,236.29445390711183,224.1971206903757,212.00789775041648
3817,2019-12-26,236.18434530178249,224.1382228798953,212.20570193579033
3818,2019-12-27,236.1720146430575,223.96034062484884,211.36702567941705
3819,2019-12-28,236.4431788061692,223.5085731289468,211.6312268832449
3820,2019-12-29,235.48035714791067,223.5447597226244,211.71833389172303
3821,2019-12-30,236.5975828131556,224.13988556520886,212.71451635785633
3822,2019-12-31,235.94035125246077,224.3479492200301,212.47724945802096
3823,2020-01-01,236.22844806782823,224.4347523673417,212.59975919765614
3824,2020-01-02,236.54853795951655,224.46991862941545,212.7584952331348
3825,2020-01-03,237.30085229477703,224.37635102172018,213.24015735576768
3826,2020-01-04,236.45712154062116,223.99715617706147,212.49245426513525
3827,2020-01-05,235.54230081799358,224.09256226725836,212.09905386609358
3828,2020-01-06,236.37104648696214,224.73237027631814,212.64180647912528
