,ds,yhat_upper,yhat,yhat_lower
3763,2019-11-02,140.38093049764257,136.69083453047213,132.91435435255983
3764,2019-11-03,140.35563042658362,136.82183381147271,133.25774475176198
3765,2019-11-04,139.86205457279877,136.2588266607162,132.7246027915484
3766,2019-11-05,140.23849921747853,136.40856456188422,132.81975201799585
3767,2019-11-06,140.13683000070435,136.48755550010773,132.92714246883614
3768,2019-11-07,139.92483576526416,136.54161341861175,132.7742999958439
3769,2019-11-08,140.0765078529993,136.62750034256732,133.13605668993037
3770,2019-11-09,140.86707972280783,137.32328000525408,133.53048770164608
3771,2019-11-10,141.14472775489367,137.36239349287575,133.7115078139243
3772,2019-11-11,140.19889935103492,136.71063512794174,133.24876019053855
3773,2019-11-12,140.64276171885547,136.77663456550493,133.02327848572233
3774,2019-11-13,140.16237897428002,136.77863247349507,133.40071803880485
3775,2019-11-14,140.32640739171134,136.7639871182503,132.89510795211243
3776,2019-11-15,140.53869570891476,136.7907787121343,133.12924561162123
3777,2019-11-16,141.24428457462764,137.4381313610366,133.88045033144323
3778,2019-11-17,141.13312616553213,137.44026396324028,133.88039397600258
3779,2019-11-18,140.44109595592244,136.7634489242296,133.1060711312545
3780,2019-11-19,140.62362579472128,136.81648509813712,132.96935204915067
3781,2019-11-20,140.37857192303127,136.81747254348429,133.1388074471908
3782,2019-11-21,140.5685324348444,136.81332640498425,133.2446171157866
3783,2019-11-22,140.66823161112174,136.8613965439204,132.98350808657645
3784,2019-11-23,141.03291545256408,137.5398123023991,133.89894670085005
3785,2019-11-24,141.20279150709453,137.58156309543008,133.77981013868532
3786,2019-11-25,140.8455211124208,136.9514928515375,133.32124408659158
3787,2019-11-26,140.7041037427194,137.0568137064618,133.0621737773232
3788,2019-11-27,140.79778370990033,137.11392539746424,133.4690868506475
3789,2019-11-28,140.99394769464976,137.16797642817403,133.56158742847364
3790,2019-11-29,140.96908430986386,137.27453231772714,133.33916157255013
3791,2019-11-30,141.8823614899958,138.0099689805138,133.84224872060238
3792,2019-12-01,141.6458494663977,138.10560059872074,134.0369474206617
3793,2019-12-02,141.2243788562533,137.52471872081568,133.86039751127518
3794,2019-12-03,141.37876625450522,137.6731467829778,133.54072318590036
3795,2019-12-04,141.4018145368567,137.76609540670924,133.85818994888677
3796,2019-12-05,141.40276039817692,137.84775359156995,133.8565985828896
3797,2019-12-06,142.0184800240956,137.9729803349584,134.23894175639919
3798,2019-12-07,142.385706299643,138.7177141335822,134.8729912318477
3799,2019-12-08,142.50192068698212,138.81310934275956,134.8103575769651
3800,2019-12-09,142.07302075173735,138.22257595609437,134.2063747427976
3801,2019-12-10,142.19467430053993,138.3523270507467,134.38198151311698
3802,2019-12-11,142.46795011243051,138.41821951607446,134.55868509669105
3803,2019-12-12,142.32510901559883,138.4653236566674,134.54360947287557
3804,2019-12-13,142.6934485251841,138.5495868667395,134.83510071789675
3805,2019-12-14,143.1774384579163,139.24820966865948,135.45746056285603
3806,2019-12-15,143.28378658139928,139.2937440782723,135.2780992509208
3807,2019-12-16,142.26691030726246,138.6510919656094,134.69362586632292
3808,2019-12-17,142.59924239114198,138.72800884991184,134.85676301036017
3809,2019-12-18,142.61985093903422,138.7418999937661,134.59321152199934
3810,2019-12-19,142.80732117276185,138.7393456520925,134.6259016852171
3811,2019-12-20,142.7976352046235,138.77772191959818,134.73063365504072
3812,2019-12-21,143.2790117433475,139.43553666282912,135.29585261730625
3813,2019-12-22,143.5078841726875,139.4464916062029,135.32269431865848
3814,2019-12-23,142.77765007938007,138.77644922998238,134.7820395909714
3815,2019-12-24,142.79345092348348,138.8339107640592,134.8309362786766
3816,2019-12-25,142.62234727463272,138.83679281981537,134.91284186811572
3817,2019-12-26,142.7343010622574,138.83194000812344,134.84570568481544
3818,2019-12-27,142.86061281977953,138.87674028153242,134.67930032435373
3819,2019-12-28,143.25311909552812,139.54946257667677,135.57162895557366
3820,2019-12-29,143.51910677928586,139.5833277107146,135.49250375568892
3821,2019-12-30,142.99757766884264,138.94349087372154,134.92250268356054
3822,2019-12-31,143.08872991519718,139.03754149502544,135.01824215666042
3823,2020-01-01,143.13985502370267,139.08230734620216,135.06725246660332
3824,2020-01-02,143.06304278254902,139.12339939626915,135.06606029597668
3825,2020-01-03,143.3514631502879,139.21686319691057,134.9803645991226
3826,2020-01-04,143.95560282171948,139.93955531429435,135.6197779237904
3827,2020-01-05,144.31749182696052,140.02325463384977,135.95016401971856
3828,2020-01-06,143.38088484662492,139.43168571724482,135.48751065104184
3829,2020-01-07,143.5779248825016,139.57105882547467,135.0404222478155
3830,2020-01-08,143.70873032493415,139.6569123384114,135.77795179331332
3831,2020-01-09,143.835578682706,139.7336930180638,135.40171984655723
3832,2020-01-10,144.02693217525348,139.85643891913446,135.78800226399647
3833,2020-01-11,144.72712138466548,140.60118261029476,135.98340188325304
3834,2020-01-12,144.63790555846256,140.6990838238092,136.5811682934258
3835,2020-01-13,144.37416575857816,140.11346816750438,135.87539978142362
3836,2020-01-14,144.28661694852644,140.25037614500323,136.2413250314157
3837,2020-01-15,144.70820739604454,140.3254080329071,136.20284232270527
3838,2020-01-16,144.57159279558135,140.38330006992535,136.0491973252181
3839,2020-01-17,144.6939814957077,140.4795969565376,135.88308997186135
3840,2020-01-18,145.77574279236214,141.19103870320473,136.29677033334573
3841,2020-01-19,145.28321140400402,141.24967148615968,137.35934627538728
3842,2020-01-20,145.19496464126857,140.619859835406,136.4506666554384
3843,2020-01-21,144.8089762814724,140.70880521906824,136.4433401935712
3844,2020-01-22,145.022100916652,140.7333574933544,136.4907817225309
3845,2020-01-23,145.13681299569032,140.7395556681305,136.24601152443745
3846,2020-01-24,144.98881762666633,140.78426402628887,136.20021724604612
