,ds,yhat_upper,yhat,yhat_lower
2383,2019-11-02,282.5634441140155,253.9551748856597,226.1543216928007
2384,2019-11-03,282.1131744012633,253.98406827198357,226.33698762029363
2385,2019-11-04,275.2935457131265,248.19318527173436,220.32360016658595
2386,2019-11-05,274.65598461297293,248.27432786429313,221.3040661208846
2387,2019-11-06,274.5474991375773,248.2612410967135,220.54002344229596
2388,2019-11-07,275.2574000360399,248.02175731849917,220.4170714110908
2389,2019-11-08,275.6178224758858,247.3024470983579,220.36277981603325
2390,2019-11-09,278.89054353009817,253.18809725252692,224.88889791290035
2391,2019-11-10,281.124384569386,252.89654400556688,225.34407118574933
2392,2019-11-11,276.6098987647562,246.79124530706008,218.39149332281173
2393,2019-11-12,274.72599632503903,246.57218139761758,219.34267487336874
2394,2019-11-13,273.20324693452443,246.28076379342622,218.7754256283379
2395,2019-11-14,275.72545801219576,245.79179154255726,219.97766941709645
2396,2019-11-15,272.53266675097245,244.8579327880507,216.9696811554823
2397,2019-11-16,277.80836705262504,250.56905637981265,223.46092101255496
2398,2019-11-17,279.25710561730375,250.1469452854091,222.29230333045717
2399,2019-11-18,271.2529896394018,243.95777886920433,216.26754911458693
2400,2019-11-19,272.9098432253332,243.70297541330137,213.31399473430767
2401,2019-11-20,273.0655914739039,243.42407650124161,213.22628860317732
2402,2019-11-21,271.4153027295828,242.9947126994504,214.37929740942323
2403,2019-11-22,271.2564637634627,242.1651282652668,212.65701835888913
2404,2019-11-23,275.1769234076605,248.0215884344592,219.1547572311646
2405,2019-11-24,276.29044130015984,247.7811989951339,221.76199339466567
2406,2019-11-25,270.8483381911052,241.8045223714181,212.18956548252967
2407,2019-11-26,270.1867492377662,241.78657801540297,213.12721179882874
2408,2019-11-27,272.76954568344865,241.76190451617163,212.2501717665831
2409,2019-11-28,270.9354771153787,241.59671812338607,212.00374414463684
2410,2019-11-29,272.6488324599228,241.03364027509434,214.51188827690942
2411,2019-11-30,277.1173958830036,247.15131227841488,217.0943512001114
2412,2019-12-01,275.4387377196881,247.15942132444658,218.64510029811
2413,2019-12-02,270.6192567652202,241.41151656070136,213.36433753382735
2414,2019-12-03,271.38789997623826,241.596197692897,213.17833419000814
2415,2019-12-04,271.29294536313694,241.74234851416665,213.19173292381447
2416,2019-12-05,270.7164496253939,241.7114454991075,212.26088021894486
2417,2019-12-06,270.4610274723566,241.2424100665209,211.240851083907
2418,2019-12-07,277.96013763548314,247.41131935552727,219.5447605679752
2419,2019-12-08,279.4716837587677,247.42649716385776,219.59969537129246
2420,2019-12-09,269.1857128074285,241.64136208054572,213.70789291170522
2421,2019-12-10,270.35076503478325,241.74561448053475,212.52151728584627
2422,2019-12-11,271.85837722969654,241.77043488534994,214.14995217213013
2423,2019-12-12,271.288701519848,241.58072484156824,212.71336741820028
