,ds,yhat_upper,yhat,yhat_lower
2646,2020-05-24,324.8220222874941,316.1484977270255,307.23019085925046
2647,2020-05-25,323.9585705781831,315.3781593977682,306.5951395631888
2648,2020-05-26,324.7808449466423,315.76300958311435,306.3507298868604
2649,2020-05-27,324.37376681121725,315.73922833561215,306.62446254991795
2650,2020-05-28,325.31694280754107,315.9919348085156,307.39739947674946
2651,2020-05-29,323.6840762910857,315.9622616894237,307.2446310011756
2652,2020-05-30,325.92884321234817,316.79655365469966,308.7112604423932
2653,2020-05-31,326.09664740809137,316.92681489715335,307.916413525038
2654,2020-06-01,324.7737328627383,316.2057493137937,307.5637285084491
2655,2020-06-02,325.0386167557015,316.62324821118125,307.4418721620668
2656,2020-06-03,325.4804165264089,316.6148881944507,307.9706988158255
2657,2020-06-04,326.22043575870816,316.86562783516626,308.2899110196014
2658,2020-06-05,326.3056335279181,316.81688804670995,308.3248690110171
2659,2020-06-06,325.99257307205784,317.6157452801944,307.75718261503965
2660,2020-06-07,327.0132770844626,317.6953626811468,308.77276628314434
2661,2020-06-08,325.94168890416245,316.910003166142,307.90062098652254
2662,2020-06-09,326.1401508008435,317.2514799246677,307.72557200150277
2663,2020-06-10,326.5042141202828,317.15760791865694,308.5237444260334
2664,2020-06-11,327.1047875241767,317.31584611645627,309.0884407119451
2665,2020-06-12,326.478254493205,317.1703167371,307.86696693213406
2666,2020-06-13,326.4366396948585,317.8709321354975,308.44226810899517
2667,2020-06-14,327.26785196568073,317.8537561174624,307.9663872818116
2668,2020-06-15,325.9347337141429,316.9759453806154,308.2456482698343
2669,2020-06-16,326.13957166944544,317.2321283664611,307.574169419822
2670,2020-06-17,325.5508578644634,317.0627868732271,307.69036974645354
2671,2020-06-18,326.09553993536196,317.1578318948551,307.84907442329927
2672,2020-06-19,326.434144091143,316.96356159770255,308.0606996747375
2673,2020-06-20,326.71750434274185,317.6317335668494,308.47646705490405
2674,2020-06-21,327.11263009254867,317.5998794399347,308.90502909351926
2675,2020-06-22,325.5340166050568,316.7262087480806,307.0928695705299
2676,2020-06-23,326.3801699344695,317.00596014001405,307.2676371534172
2677,2020-06-24,326.70504099552807,316.87976597553956,306.91657914639546
2678,2020-06-25,326.5690515110938,317.0372221220386,307.70894889347545
2679,2020-06-26,325.6607514741745,316.9238509580917,307.6471030927917
2680,2020-06-27,326.74780114778673,317.69018953311604,308.55942850414635
2681,2020-06-28,326.9764653510789,317.7721305495532,308.3261182340833
2682,2020-06-29,325.9060833796819,317.0258622816495,307.2903283327653
2683,2020-06-30,327.65955848291804,317.4442646679776,307.52866811114694
2684,2020-07-01,326.2076651616856,317.4653264179819,308.39129970124196
2685,2020-07-02,327.22888662651343,317.77577364508596,308.1418161421458
2686,2020-07-03,327.69751409186125,317.81809656986536,307.6631564507503
2687,2020-07-04,328.05169875829756,318.73970468111156,309.7089444629616
2688,2020-07-05,328.04904101976484,318.9733364008076,309.1930101367105
2689,2020-07-06,327.8174815998669,318.3720677291238,308.69693895452525
2690,2020-07-07,329.15691810083473,318.92577549289825,308.6272780518558
2691,2020-07-08,328.2411128998053,319.06961848914625,309.61787883901616
2692,2020-07-09,329.19615414864194,319.4877255900847,310.6058972612868
2693,2020-07-10,330.3523273275124,319.6202760448247,310.2189867528166
2694,2020-07-11,330.4911035527953,320.61270122512735,310.8759825318459
2695,2020-07-12,330.19633219954784,320.89613291423916,311.1726269159115
2696,2020-07-13,330.21178545625895,320.3224418811308,311.0410898287579
2697,2020-07-14,330.56737142712166,320.88072185685473,311.3742446312592
2698,2020-07-15,330.5494791961084,321.00578193229177,311.5539497662467
2699,2020-07-16,330.9879536597897,321.38183640717045,311.40126733398245
2700,2020-07-17,331.62094926650224,321.4495775193494,312.07106051480037
2701,2020-07-18,331.73196381872003,322.3553607150075,313.83072995598036
2702,2020-07-19,331.9581880096508,322.5316281746446,313.2651083518844
2703,2020-07-20,331.8330239498533,321.83191513424504,311.6397988892648
2704,2020-07-21,332.53370822072765,322.24729507046123,312.7243879379404
2705,2020-07-22,332.300492218606,322.2148278471935,312.0094938757533
2706,2020-07-23,332.5243432417155,322.42120102561654,312.7462171458968
2707,2020-07-24,331.42909119286526,322.30975099956606,312.6189132867465
2708,2020-07-25,333.11637803870497,323.02959487660314,313.01725378364506
2709,2020-07-26,332.38082108970923,323.0160000725836,313.21769091748956
2710,2020-07-27,332.59754014900466,322.12533737290386,312.4603984416401
2711,2020-07-28,332.61588824757115,322.35147467410536,312.5132929213148
2712,2020-07-29,331.85428893067245,322.13417655185367,312.5784438006289
2713,2020-07-30,332.10842429530845,322.1627007865625,312.2039192386187
2714,2020-07-31,332.056691480264,321.88277929917524,312.2566688940726
2715,2020-08-01,333.29556421469056,322.4457150549373,312.56040170852714
2716,2020-08-02,332.4384594375503,322.2887223779826,312.431365380151
2717,2020-08-03,331.7057536831385,321.2698567377619,310.95121654671107
2718,2020-08-04,331.5742697396797,321.384391362381,310.61948358083674
2719,2020-08-05,330.9104559943518,321.07320580499356,310.51094814428143
2720,2020-08-06,330.8202071686111,321.0263774233256,311.156612402358
2721,2020-08-07,331.22203667751114,320.6901629161088,310.4220645334651
2722,2020-08-08,331.1417569662028,321.2161010453338,310.376452779139
2723,2020-08-09,331.2041509979904,321.0413634581118,311.0410498674655
2724,2020-08-10,330.4746066473339,320.0236990621713,309.9101605407145
2725,2020-08-11,331.030792823222,320.1578286485426,310.31376972702975
2726,2020-08-12,329.9211328225397,319.8838541954139,309.5971333255297
2727,2020-08-13,329.6123491423696,319.89087311409304,309.9253660216291
2728,2020-08-14,329.62494609868816,319.6239838971427,309.42123700154445
